Id,PersonId,AccountId,StartDate,EndDate,PledgeFrequency,TotalAmount
49,16609,81,6/30/2006 12:00:00 AM,6/30/2011 12:00:00 AM,Monthly,4500
50,16609,92,5/16/2010 12:00:00 AM,5/16/2015 12:00:00 AM,Monthly,3000
1169,27130,87,1/15/2017 12:00:00 AM,1/1/2018 12:00:00 AM,Monthly,9000
1065,16728,127,5/1/2016 12:00:00 AM,4/21/2019 12:00:00 AM,Weekly,3900
162,16732,81,5/7/2006 12:00:00 AM,5/1/2011 12:00:00 AM,Weekly,2600
163,16732,92,5/1/2010 12:00:00 AM,5/1/2015 12:00:00 AM,Monthly,3000
963,16742,118,11/15/2015 12:00:00 AM,11/1/2020 12:00:00 AM,OneTime,5000
164,16793,81,8/1/2006 12:00:00 AM,8/1/2011 12:00:00 AM,Monthly,7200
165,16793,88,12/5/2010 12:00:00 AM,6/5/2014 12:00:00 AM,Monthly,4399.92
920,16814,118,12/1/2015 12:00:00 AM,11/30/2017 12:00:00 AM,Monthly,3000
166,16852,81,4/30/2006 12:00:00 AM,4/29/2007 12:00:00 AM,Weekly,2080
1040,44,127,4/22/2016 12:00:00 AM,4/14/2019 12:00:00 AM,Weekly,2340
167,16973,81,1/1/2008 12:00:00 AM,12/25/2012 12:00:00 AM,Weekly,6500
791,16990,118,1/1/2016 12:00:00 AM,12/20/2020 12:00:00 AM,Weekly,2600
168,17045,81,5/2/2006 12:00:00 AM,5/2/2011 12:00:00 AM,Monthly,2400
51,17096,81,5/1/2006 12:00:00 AM,5/1/2011 12:00:00 AM,Monthly,3000
905,17150,118,12/6/2015 12:00:00 AM,11/29/2020 12:00:00 AM,Monthly,4450
169,17179,81,4/30/2006 12:00:00 AM,4/30/2011 12:00:00 AM,Monthly,1200
1047,17249,127,6/1/2016 12:00:00 AM,5/26/2019 12:00:00 AM,Monthly,3600
1151,17299,127,5/8/2016 12:00:00 AM,4/28/2019 12:00:00 AM,Weekly,2340
859,17308,118,1/1/2016 12:00:00 AM,12/31/2020 12:00:00 AM,Monthly,9000
1110,17377,127,10/1/2016 12:00:00 AM,6/30/2019 12:00:00 AM,Monthly,4950
170,17380,81,6/4/2006 12:00:00 AM,5/29/2011 12:00:00 AM,Weekly,2600
171,17436,81,5/1/2006 12:00:00 AM,5/1/2011 12:00:00 AM,Monthly,1200
868,17453,118,11/15/2015 12:00:00 AM,11/1/2020 12:00:00 AM,Monthly,3000
172,17482,81,11/25/2007 12:00:00 AM,11/25/2012 12:00:00 AM,Monthly,3600
173,17482,92,5/1/2010 12:00:00 AM,5/1/2015 12:00:00 AM,Monthly,14280
174,17512,2,5/1/2010 12:00:00 AM,5/1/2015 12:00:00 AM,Monthly,65000
175,17542,81,4/30/2006 12:00:00 AM,4/30/2006 12:00:00 AM,OneTime,50
176,17603,81,6/30/2006 12:00:00 AM,6/30/2011 12:00:00 AM,Monthly,12000
177,17603,92,5/16/2010 12:00:00 AM,5/16/2015 12:00:00 AM,Yearly,12500
178,17644,81,4/30/2006 12:00:00 AM,4/24/2011 12:00:00 AM,Weekly,2600
179,17657,81,4/30/2006 12:00:00 AM,4/30/2006 12:00:00 AM,OneTime,3000
951,17679,118,11/15/2015 12:00:00 AM,8/14/2016 12:00:00 AM,Monthly,270
210,127,81,5/21/2006 12:00:00 AM,5/15/2011 12:00:00 AM,Weekly,1300
209,127,92,5/5/2010 12:00:00 AM,5/5/2010 12:00:00 AM,OneTime,1
829,20658,118,12/1/2015 12:00:00 AM,11/29/2020 12:00:00 AM,Monthly,9000
180,17734,81,4/30/2006 12:00:00 AM,4/24/2011 12:00:00 AM,Weekly,15600
809,17753,118,11/15/2015 12:00:00 AM,11/1/2020 12:00:00 AM,Weekly,13000
181,17837,81,5/1/2006 12:00:00 AM,5/1/2011 12:00:00 AM,Monthly,3000
903,17839,118,1/1/2016 12:00:00 AM,12/31/2020 12:00:00 AM,Monthly,15000
799,17864,118,11/15/2015 12:00:00 AM,11/1/2020 12:00:00 AM,Weekly,6500
52,17912,81,5/1/2006 12:00:00 AM,5/1/2011 12:00:00 AM,Monthly,6000
53,17912,92,5/1/2010 12:00:00 AM,5/1/2015 12:00:00 AM,Monthly,6000
9,17922,2,5/1/2010 12:00:00 AM,2/1/2014 12:00:00 AM,Monthly,6750
8,17922,81,4/30/2006 12:00:00 AM,4/30/2011 12:00:00 AM,Monthly,6000
921,17922,118,11/15/2015 12:00:00 AM,11/1/2020 12:00:00 AM,OneTime,18100
800,17973,118,1/1/2016 12:00:00 AM,12/20/2020 12:00:00 AM,Weekly,6500
922,18009,118,11/15/2015 12:00:00 AM,11/1/2020 12:00:00 AM,OneTime,2500
947,18097,118,1/1/2016 12:00:00 AM,12/31/2020 12:00:00 AM,Yearly,2000
183,18105,2,5/1/2010 12:00:00 AM,5/1/2015 12:00:00 AM,Monthly,36000
182,18105,81,5/1/2006 12:00:00 AM,5/1/2011 12:00:00 AM,Monthly,44500
776,18105,118,1/1/2016 12:00:00 AM,12/31/2020 12:00:00 AM,Monthly,55350
184,18184,81,8/20/2006 12:00:00 AM,8/14/2011 12:00:00 AM,Weekly,1300
932,18241,118,11/15/2015 12:00:00 AM,11/1/2020 12:00:00 AM,Yearly,100000
804,18258,118,1/1/2016 12:00:00 AM,12/20/2020 12:00:00 AM,Weekly,6900
185,18294,81,12/1/2007 12:00:00 AM,12/1/2012 12:00:00 AM,Monthly,3000
186,18294,88,5/1/2010 12:00:00 AM,5/1/2015 12:00:00 AM,Monthly,12000
187,18361,81,5/1/2006 12:00:00 AM,5/1/2011 12:00:00 AM,Monthly,1500
787,18384,118,11/15/2015 12:00:00 AM,11/1/2020 12:00:00 AM,Weekly,2600
188,18397,2,5/23/2010 12:00:00 AM,5/23/2015 12:00:00 AM,Monthly,3000
919,18409,118,11/15/2015 12:00:00 AM,11/1/2020 12:00:00 AM,OneTime,500
211,211,81,4/30/2006 12:00:00 AM,4/30/2011 12:00:00 AM,Monthly,10500
212,211,89,5/1/2010 12:00:00 AM,5/1/2015 12:00:00 AM,Monthly,39000
855,18448,118,12/1/2015 12:00:00 AM,11/30/2020 12:00:00 AM,Monthly,2400
1010,18457,118,1/1/2016 12:00:00 AM,12/31/2020 12:00:00 AM,OneTime,2400
