PersonId,AttributeKey,AttributeValue
1,IndCampus,Sojourn J-town
1,IndLimitAccessUser,1
1,IndFamPosition,Primary Contact
3,IndAllergies,Strawberry
3,IndCampus,Sojourn J-town
3,IndLimitAccessUser,1
3,IndFamPosition,Child
4,IndCampus,Sojourn J-town
4,IndLimitAccessUser,1
4,IndFamPosition,Child
5,IndCampus,Sojourn J-town
5,IndLimitAccessUser,1
5,IndFamPosition,Child
16556,IndCampus,Sojourn Midtown
16556,IndLimitAccessUser,1
16556,IndFamPosition,Primary Contact
16557,IndCampus,Sojourn Midtown
16557,IndLimitAccessUser,1
16557,IndFamPosition,Primary Contact
16561,IndCampus,Sojourn East
16561,IndLimitAccessUser,1
16561,IndFamPosition,Primary Contact
16562,IndCampus,Sojourn J-town
16562,IndLeadership,Elder
16562,IndBaptized,Baptized
16562,IndLimitAccessUser,1
16562,IndFamPosition,Primary Contact
16563,IndCampus,Sojourn J-town
16563,IndBaptized,Baptized
16563,IndLimitAccessUser,1
16563,IndFamPosition,Spouse
16558,IndCampus,Sojourn Midtown
16558,IndLimitAccessUser,1
16558,IndFamPosition,Primary Contact
16559,IndCampus,Sojourn Midtown
16559,IndLimitAccessUser,1
16559,IndFamPosition,Primary Contact
16560,IndCampus,Sojourn Midtown
16560,IndLimitAccessUser,1
16560,IndFamPosition,Primary Contact
16564,IndCampus,Sojourn J-town
16564,IndLimitAccessUser,1
16564,IndFamPosition,Child
16565,IndCampus,Sojourn J-town
16565,IndLimitAccessUser,1
16565,IndFamPosition,Child
16566,IndCampus,Sojourn J-town
16566,IndLimitAccessUser,1
16566,IndFamPosition,Child
16567,IndCampus,Sojourn J-town
16567,IndLimitAccessUser,1
16567,IndFamPosition,Child
16568,IndCampus,Sojourn East
16568,IndLimitAccessUser,1
16568,IndFamPosition,Primary Contact
16569,IndCampus,Sojourn East
16569,IndLimitAccessUser,1
16569,IndFamPosition,Spouse
16570,IndCampus,Sojourn East
16570,IndLimitAccessUser,1
16570,IndFamPosition,Child
16571,IndCampus,Sojourn East
16571,IndLimitAccessUser,1
16571,IndFamPosition,Child
16572,IndCampus,Sojourn East
16572,IndLimitAccessUser,1
16572,IndFamPosition,Primary Contact
16574,IndCampus,Sojourn East
16574,IndLimitAccessUser,1
16574,IndFamPosition,Child
16575,IndCampus,Sojourn East
16575,IndLimitAccessUser,1
16575,IndFamPosition,Child
16576,IndCampus,Sojourn East
16576,IndLimitAccessUser,1
16576,IndFamPosition,Child
16573,IndCampus,Sojourn Midtown
16573,IndFamPosition,Primary Contact
2,IndCampus,Sojourn Midtown
2,IndLimitAccessUser,1
2,IndFamPosition,Primary Contact
16577,IndCampus,Sojourn East
16577,IndLimitAccessUser,1
16577,IndFamPosition,Primary Contact
16578,IndCampus,Sojourn East
16578,IndLimitAccessUser,1
16578,IndFamPosition,Child
16579,IndCampus,Sojourn J-town
16579,IndLimitAccessUser,1
16579,IndFamPosition,Primary Contact
16580,IndCampus,Sojourn J-town
16580,IndLimitAccessUser,1
16580,IndFamPosition,Child
16581,IndCampus,Sojourn J-town
16581,IndLimitAccessUser,1
16581,IndFamPosition,Child
16582,IndCampus,Sojourn J-town
16582,IndLimitAccessUser,1
16582,IndFamPosition,Primary Contact
16583,IndCampus,Sojourn J-town
16583,IndLimitAccessUser,1
16583,IndFamPosition,Spouse
16584,IndCampus,Sojourn J-town
16584,IndLimitAccessUser,1
16584,IndFamPosition,Child
16585,IndCampus,Sojourn J-town
16585,IndLimitAccessUser,1
16585,IndFamPosition,Child
16586,IndCampus,Sojourn East
16586,IndLimitAccessUser,1
16586,IndFamPosition,Primary Contact
16587,IndCampus,Sojourn East
16587,IndLimitAccessUser,1
16587,IndFamPosition,Child
16588,IndCampus,Sojourn East
16588,IndLimitAccessUser,1
16588,IndFamPosition,Child
16589,MembershipDate,2012-10-23T00:00:00.0000000
16589,IndCampus,Sojourn East
